Outcode,Incode,LDZ,Exit Zone,LPG Indicator
BA1,2SQ,SW,SW2,
BA1,2SR,SW,SW2,
BA1,2SS,SW,SW2,
BA1,2ST,SW,SW2,
BA1,2SU,SW,SW2,
BA1,2SW,SW,SW2,
BA1,2SX,SW,SW2,
BA1,2SZ,SW,SW2,
BA1,2TA,SW,SW2,
BA1,2TB,SW,SW2,
BA1,2TD,SW,SW2,
BA1,2TE,SW,SW2,
BA1,2TF,SW,SW2,
BA1,2TH,SW,SW2,
BA1,2TJ,SW,SW2,
BA1,2TL,SW,SW2,
BA1,2TP,SW,SW2,
BA1,2TR,SW,SW2,
BA1,2TS,SW,SW2,
BA1,2TT,SW,SW2,
BA1,2TU,SW,SW2,
BA1,2TW,SW,SW2,
BA1,2TX,SW,SW2,
BA1,2TY,SW,SW2,
BA1,2TZ,SW,SW2,
BA1,2UA,SW,SW2,
BA1,2UB,SW,SW2,
BA1,2UD,SW,SW2,
BA1,2UE,SW,SW2,
BA1,2UF,SW,SW2,
BA1,2UG,SW,SW2,
BA1,2UH,SW,SW2,
BA1,2UJ,SW,SW2,
BA1,2UL,SW,SW2,
BA1,2UN,SW,SW2,
BA1,2UP,SW,SW2,
BA1,2UQ,SW,SW2,
BA1,2UR,SW,SW2,
BA1,2US,SW,SW2,
BA1,2UT,SW,SW2,
BA1,2UU,SW,SW2,
BA1,2UW,SW,SW2,
BA1,2UX,SW,SW2,
BA1,2UY,SW,SW2,
BA1,2UZ,SW,SW2,
BA1,2VV,SW,SW2,
BA1,2XA,SW,SW2,
BA1,2XB,SW,SW2,
BA1,2XE,SW,SW2,
BA1,2XG,SW,SW2,
BA1,2XH,SW,SW2,
BA1,2XJ,SW,SW2,
BA1,2XL,SW,SW2,
BA1,2XN,SW,SW2,
BA1,2XP,SW,SW2,
BA1,2XQ,SW,SW2,
BA1,2XR,SW,SW2,
BA1,2XS,SW,SW2,
BA1,2XT,SW,SW2,
BA1,2XU,SW,SW2,
BA1,2XW,SW,SW2,
BA1,2XX,SW,SW2,
BA1,2XY,SW,SW2,
BA1,2XZ,SW,SW2,
BA1,2YA,SW,SW2,
BA1,2YB,SW,SW2,
BA1,2YD,SW,SW2,
BA1,2YE,SW,SW2,
BA1,2YF,SW,SW2,
BA1,3AA,SW,SW2,
BA1,3AB,SW,SW2,
BA1,3AD,SW,SW2,
BA1,3AE,SW,SW2,
BA1,3AF,SW,SW2,
BA1,3AG,SW,SW2,
BA1,3AH,SW,SW2,
BA1,3AJ,SW,SW2,
BA1,3AN,SW,SW2,
BA1,3AP,SW,SW2,
BA1,3AQ,SW,SW2,
BA1,3AR,SW,SW2,
BA1,3AS,SW,SW2,
BA1,3AT,SW,SW2,
BA1,3AU,SW,SW2,
BA1,3AW,SW,SW2,
BA1,3AX,SW,SW2,
BA1,3BA,SW,SW2,
BA1,3BB,SW,SW2,
BA1,3BD,SW,SW2,
BA1,3BE,SW,SW2,
BA1,3BG,SW,SW2,
BA1,3BH,SW,SW2,
BA1,3BJ,SW,SW2,
BA1,3BL,SW,SW2,
BA1,3BN,SW,SW2,
BA1,3BP,SW,SW2,
BA1,3BQ,SW,SW2,
BA1,3BR,SW,SW2,
BA1,3BS,SW,SW2,
BA1,3BT,SW,SW2,
BA1,3BU,SW,SW2,
BA1,3BW,SW,SW2,
BA1,3BX,SW,SW2,
BA1,3DD,SW,SW2,
BA1,3DF,SW,SW2,
BA1,3DG,SW,SW2,
BA1,3DH,SW,SW2,
BA1,3DJ,SW,SW2,
BA1,3DN,SW,SW2,
BA1,3DP,SW,SW2,
BA1,3DQ,SW,SW2,
BA1,3DR,SW,SW2,
BA1,3DS,SW,SW2,
BA1,3DT,SW,SW2,
BA1,3DU,SW,SW2,
BA1,3DW,SW,SW2,
BA1,3DX,SW,SW2,
BA1,3DY,SW,SW2,
BA1,3DZ,SW,SW2,
BA1,3EA,SW,SW2,
BA1,3EB,SW,SW2,
BA1,3ED,SW,SW2,
BA1,3EE,SW,SW2,
BA1,3EF,SW,SW2,
BA1,3EG,SW,SW2,
BA1,3EH,SW,SW2,
BA1,3EJ,SW,SW2,
BA1,3EN,SW,SW2,
BA1,3EQ,SW,SW2,
BA1,3ES,SW,SW2,
BA1,3EU,SW,SW2,
BA1,3EW,SW,SW2,
BA1,3EX,SW,SW2,
BA1,3EY,SW,SW2,
BA1,3HD,SW,SW2,
BA1,3HE,SW,SW2,
BA1,3HF,SW,SW2,
BA1,3HG,SW,SW2,
BA1,3HH,SW,SW2,
BA1,3HJ,SW,SW2,
BA1,3HL,SW,SW2,
BA1,3HN,SW,SW2,
BA1,3HP,SW,SW2,
BA1,3HQ,SW,SW2,
BA1,3HR,SW,SW2,
BA1,3HS,SW,SW2,
BA1,3HT,SW,SW2,
BA1,3HU,SW,SW2,
BA1,3HX,SW,SW2,
BA1,3HZ,SW,SW2,
BA1,3JA,SW,SW2,
BA1,3JB,SW,SW2,
BA1,3JD,SW,SW2,
BA1,3JE,SW,SW2,
BA1,3JF,SW,SW2,
BA1,3JJ,SW,SW2,
BA1,3JL,SW,SW2,
BA1,3JN,SW,SW2,
